Anlc mlsai iu cigwa kro'tickutamiwat. Anlc misai ||| Therefore such was how they there came into posses sion of fire.
Mldac, "Namadapin ima agametasing," udigon omico misan. ||| "All right," he said to his grandmother. Thereupon truly Nanabushu set out in the direction whither it had been pointed out to him by his grandmother. And then he said to her: "O my grandmother! not will I return in the eyening if I do not kill anything," he said to her. "Don't become tired waiting for me." So then truly away went Nanabushu. Now, at a certain distance he turned from the course he was bound into the direction which the other had been seen going in flames. Thereupon, as
Mldac kaga't nibat Nanabuco ajikawi'tat ; kuma'a'piclac kanibat Nanabucu mrajisakinkucikasut. Mldac, "E1, Na nabucu, kuckusin !" udigon omicomisan. ||| he went walking- along, Nanabushu saw a small wigwam that was standing ; smoke was rising from it. So when he peeped in, he saw his grandfather lying down. Thor oughly scorched was the fur upon his back, according to the way in which he had burned him. And so he spoke to him as he went (in): "My grandfather," he said to him, "I am come to visit you."
Mldac kagact Nanabucu unickaba'tod. Medac anat omi comisan : "Nimicomic, mi kuca ki'tci'a-'pwayabandaman," udinan. ||| "Why, come in, my grandson!" he was told.
"Awiya klnwan kiplmiganigunanig, nintanabandam. Wawlnga klnwan kiki'klwi'taskakunanig Pwanag. Sasa'k.wawag kaya nintanabandam. Mlgu kaga't tcinibuyang, nimicomis." Mi cigwa Nanabucu anotc inanimat omicomisan iu ki'a'ni-a'i'kitut. Mldac anat: "NingaTrclta minotc, nimicomis; mi nongum tibi'kalk tcibimawinauguyank," udinan. Midac ||| And then: "Sit down there at the other side of the lire," he was told by his grandfather.
Nanabucu kaga't krircl'tod; kruji'tod ubi'kwa'kon. Midac krirji4tod anln wa/totwad omicornisan wa'i'jisagi'a't. Midac minawa anadin : "A'pl amaniswayang, notawatwa awiya sasa'kwiiwat, kagi/ saga'a'nkan. Nm ni'tam ningasagitcisa tcimlgasoyan, km dac pisan pmdik klgataya. Panimadac klgakanonin tcipisaga'a'man," udinan. ||| And so truly Nanabushu went in, he sat down, (and) he listened to the talk of his grandfather. And then they say that Nanabushu (said): "Verily, indeed, am I sleepy. I am going to take a nap," he said to his grandfather.
Midac kaga't. ||| "Go to sleep, my grandson," he said to him.
Midac katibi'tatinig Nanabucu ka'ijisaga'a'nk. Midac ||| And so truly to sleep went Nanabushu as he lay pros trate ; and later on, after he had gone to sleep, Nanabushu then pretended to be in a nightmare. So then: "Hey, Nanabushu, wake up!" he was told by his grandfather.
klwi'taiya*!' kapaba'i'jimaminslsiwit. Midac migwanan ka'i'- ||| Thereupon truly Nanabushu leaped out of bed. And then he said to his grandfather: "My grandfather, now truly was I dreaming of a very fearful thing," he said to him.
wan : "Pltabank tclkaya'r, mitcisasa'kwayag," uditan. ||| "What, my grandson, did you dream?" he said to him.
Midac kiwa11 Nanabucu ka'i'ciplndigat, midac anat omi cornisan: " Aiyangwamisin, nimicomis. Atcina klganibamin," udinan. "A'tawa-a'n kaya ickuta," udinan. Midac Nana bucu aiya/pl sasakinguci'kasut. "Mlgu, kaga't kanabatc pacux prai-yawat, pamawina/u-nangwa," udinan omicomisan. ||| "By somebody was I warned that we would be fought against, was what I dreamed. Completely, was I told, have we now been encircled about by the Sioux. And they were whooping, such was what I dreamed. Therefore truly are we destined to die, my grandfather." Already now was Nanabushu entertaining all sorts of evil designs upon his grandfather, in that he kept on with talk. So then he said to him: "I will get ready, nevertheless, my grandfather • for on this very night will they come to
Midac caylgwa tcigaya*r weyabaninig, cayigwa kaga't Nanabucu omowansan sasa'kwamagatiniwan. ||| attack us," he said to him. Thereupon truly Nanabushu made preparations ; he made some arrows. He made what he was going to use to scare his grandfather. And then again he said to him : " When we become frightened by the threatening alarm, when you hear some body whooping, don't you go outside. It will be my place to dash out to the fight, and you shall quietly remain inside. And after a while I will speak to you to come outside," he said to him.
Mldac kaga't a11 alkiwanzi wa*a'ni'rjisaga*a'nk, midac Nanabucu aja kra-'kutaskawat umi'tigwabin wfpimwat omicomisan. Midac klpimwat uska'tigwanining. Ka/ijinisat, midac klmadclpa'kijwat ; kaya kipa'kunat. Pangidac a'ta oglmadclton wiyas kl'klwawitot. Midac anitagwicing antawat o^kumisan uki'a'nipagitciwanatawan. ||| And so it truly was.
Midac mindimoya modcigizit. Midac kactina aji-a'ba'a-nk i11 pimiwanan. A'plidac wayabandank wiyas ugilkandan wagunan tind wiyas. Mldac a'pidci kaskandank, kawin kago ilkitusl. ||| And after it was dark, Nanabushu went outside, where upon all around the place he eased himself, dropping the dung here and there a little at a place. And then all about the place he stuck some feathers which he placed standing upon every single dunghill. Thereupon he said to his dunghills: "When it is nearly time for the dawn to appear, then shall all of you whoop," he said to them. "Display your zeal," he said to them.
iMldac Nanabucu: "Wawlp klzizan wiyas. Niwlwlsin," udinan o'kumisan. ||| Thereupon they say that after Nanabushu entered the dwelling, he then said to his grandfather : " Be on your guard, my grandfather. For a little while shall we sleep," he said to him. "Put out the fire," he said to him. And so Nanabushu now and then pretended that he was in a nightmare. "Now, truly perhaps hard by are they ap proaching, they who are coming to attack us," he said to his grandfather.
Midac kaga/t gagi'twan a'l'ndana'kamigisit. Midac kiwlsinit, o'kumisan kaya mldcinit wiyas. Midac klnwan minawa Nanabucu an at o'kumisan : "NVkumis! wawip ujl'tan, klganingunisumin." udinan. ||| And then was it nearly time for the morrow to come, already then, indeed, were all the little dunghills of Nana bushu a-whooping.
Mldac kaga/t ajimadcawat, kagi'twanigu a11 mindimoya animadca. Mldac anici Nanabuc nlganlt. Mldac anita gwicing, anln kadijinank uda'kiwa^ri'mican klnanawicinon ! Nanabucu win aja krklciwani'ka. Mldac anat o'kumisan : "Mlwe kaya km kapamondaman," udinan o'kumisan. ||| Thereupon up leaped Nanabushu from his couch. "O my grandfather! it is my place to go outside." So then truly did Nanabushu also whoop. And then he spoke to his grandfather, saying: "All right, O my grandfather! come on out!" he said to him.
Ma'kwayanan minawa ucigan. ||| It was true that when the old man was on his way out of doors, then indeed did Nanabushu already have his arrow on the string ready to shoot his grandfather. There upon he shot him in the forehead. After he had slain him, he then began to cut him (at the throat to bleed him) with a knife ; and he skinned him. And only a little of the meat did he take along on his way back home. And so when he arrived where he and his grandmother lived, he then laid down his pack.
Mldac anicimadcat Nanabucu, "Ml ijiwajiwani'kan," udinan. Mldac Nanabucu anijimadcat. "Mldac kaya kin wawip pimadcan," udinan. ||| Thereupon the old woman was delighted. And so at once she untied the pack. And when she saw the meat, she knew what kind of meat it was. Thereupon very sad she felt in her mind, (and) nothing had she to say.
Mldac a11 mindimoya kaga/t ajiwajiwaniikat. Mldac wawabamat Ini/u awayanan, ml wabamat mamama'kizunit ||| Thereupon Nanabushu : " Make haste (and) cook the meat, I want to eat," he said to his grandmother.
udiyawinit ina'ka'kaya ; midac ki'kanimat au mindimoya kmisimint unabaman. Animamawi kakimotc. ||| And then truly with reluctance she went about her work.
Kaya win dac Nanabucu, kawm udaglpwanawi'tosln ka'kina win tciklpimiwananat Ini/u ma'kwan. Anicagu wlpa'pinanimat o'kumisan ; ml ka'irndcimlnat tcipimiwinananit Ini/u owayanan. Amc, ml klnwan Nanabucu win aja pindik ayat. Win dac mindimoya pi'tclnag anitagwicing. Midac Nanabucu anat o^kumisan : "Anin a'pl'tandiyan ? Amc win mawija tagwijinslwan ?" udinan o'kumisan. "Wagunen ka-u'ci'toyan iwiti? Intigu kaya kiglmau ajinagusiyan," udi nan o'kumisan. ||| And so he ate, and his grandmother too ate the meat. And now they say that Nanabushu again said to his grand mother : " O my grandmother ! quickly make ready, let us go after our meat," he said to her.
"Ka," udigon. "Misaguna a'pisi'kayan," udig'on o'kumisan. ||| Thereupon truly they set out, and against her desire the old woman went along. And so Nanabushu went on ahead. And when they arrived at the place, what did she see but her dear old man all cut up in pieces! Nanabushu himself soon had his pack all done up. Thereupon he said to his grandmother: "And this do you also carry upon your back," he said to his grandmother.
'taiya'r ickutang uskipingwi a'ton," udinan o'kumisan. ||| It was the bear-skin and the rump.
" Animi'kwagoc, mlnawatc ka/rciminopasut," udinan olkumi- ||| And then away started Nanabushu. "Make your pack of that," he said to her. And so Nanabushu started away. "And do you also quickly come away," he said to her.
san. Anicagu wlmrkisumat o'kumisan, ml wandci'i'nat. ||| Thereupon the old woman truly made up her pack. And as she gazed upon the robe, she then saw that it was burned at the place about the buttocks; and now the
Midac kaga't wawip gagi'twan ijictcigat a11 mindimoya. ||| old woman knew that her husband was slain. On the way and now and then she wept in secret.
Anlcina atiso'kan, pabiga kri jitciga ka/rnint. Midac minawa ||| And as for Nanabushu himself, he could have found it possible to carry all the bear in his pack. All he wanted was to make fun of his grandmother ; that was why he gave her the robe to carry in her pack. Well, then they say that Nanabushu was soon inside the dwelling. And the old woman too presently arrived. Thereupon Nanabushu said to his grandmother: "Why have you been gone so long? Why did you not come long ago?" he said to his grandmother. "What were you doing over there ? It seems as if you have been crying by the looks of you," he said to his grandmother.
udinan. "Iwe kapimondaman mlwe kagapa'toyan," udinan. ||| "No," he was told. "That is how long it takes me to come," he was told by his grandmother.
Midac kaga't au mindimoya ka'i'citcigat ka'i'gut ojisan Nanabucon. Midac sasaga'a'nk a11 mindimoya owabaman ||| "Make haste to have (things) ready," he said to her; "prepare a bed of fresh boughs, and round about the fireplace lay some fresh sand," he said to his grandmother. "And I myself will go and fetch some fire-wood. And hang up the bear-skin," he said to her. "Hang it up with the fur side towards you, much better will it dry that way," he said to his grandmother. He only wanted to tease his grandmother, for that was why he spoke thus to her.
ojisan kago minawa ujitonit, kago udockutani ; paga-a-'ku'kwana'tig. Midac: "Wawlp, no'kumis ! kinantawanimin oma pindik tcipra'yayan." ||| Thereupon truly in haste (and) against her will did the old woman do it. According to the story, straightway she did what she had been told. And now again Nanabushu (said) to his grandmother : " Now must you build the fire, (and) cook the meal," he said to her. "That which you fetched upon your back the same shall you boil," he said to her.
A-i'ntaci'taban agwatcing a11 mindimoya. ||| It was true that the old woman did what she had been told by her grandson Nanabushu. And as often as the old woman went out of doors she saw her grandson making
Anic, kagi'twanigu a11 mindimoya gaga't ijictciga ka'i'gut Nanabucon ojisan. ||| something else, for some object was he whittling ; it was a drum-stick. Thereupon: "Be quick, O my grandmother! I want you to come in here and remain."
Midac kaga't ki'twan ijictcigat mindimoya. ||| Busy at work out of doors was the old woman.
Midac klnwan minawa anat o'kumisan: "Klgi'kandanina, no'kumis, wagunan madclyan ?" udinan o'kumisan. ||| "All right, be quick (and) come inside!" Already now is your kettle boiling ! And I want you to dance for me round about this fire," he said to her. "At the same time I want you now and then to shake your kettle," he said to her.
"Kawm," i'kito mindimoya. ||| Well, it was with much reluctance that the old woman truly did what she was told by Nanabushu her grandson.
"Nya, awacima win!" i'kitu mindimoya. ||| Thereupon did Nanabushu begin to sing, at the same time now and then he struck the kettle which his grand mother had shaken (to keep the meat from scorching). Thereupon truly the old woman danced round about the fire, and now and then she shook her kettle ; in the mean while Nanabushu sang. After he had made his grand mother dance, then he said to her: "Lap off the grease (from the ladle)," he said to his grandmother.
"Kaga't," udinan. "Klgi'kandan na klgri'gwicimun kri-ciyamban? Mlna oma a'pl tcinibayan kri'ninamban ? mlwe a'pl klwabaminan ka-i'citcigayan. Nlndac kasa'kawa'k kinabam udiyang," udinan o'kumisan. ||| Thereupon truly against her will did the old woman do it.
Amc na mindimoya kagwinawrrnabitigu •, kawln clac kago i'kitusl. Mldac Nanabucu ajiponimat o'kumisan, kaya win mindimoya kawln kago i'kitusl. ||| And so they say that again he said to his grandmother: "Do you know, my grandmother, what you are eating?" he said to his grandmother.
Mldac klnwan aTndawat Nanabucu o'kumisan kaya. ||| "No," said tl\e old woman.
"Intigasa mlgu nln ka'i'jipajigowanan," inandam Nanabucu. ||| "It is indeed the hammer of your husband that you are eating, and its grease is what you are lapping with your tongue," he said to his grandmother.
Mldac anandank : " Ningagagwatcima no'kumis." Anlcina ||| "Oh, how disgusting you are!" said the old woman.
atiso'kan, mldac kaga't anat o'kumisan : "No'kurnis," udinan; ||| "It is true," he said to her. "Do you remember the
"mlnagu klnawint a'tagu pimatisiyang ?" udinan. "Kawln ||| .time when you bade me go and fast? And when I told
